16:18:39.045 [main] INFO  com.inetBanking.testCases.BaseClass - Test Case Passes
20:16:24.778 [main] INFO  com.inetBanking.testCases.BaseClass - URL is Loaded
20:16:25.382 [main] INFO  com.inetBanking.testCases.BaseClass - userName is Entered
20:16:25.567 [main] INFO  com.inetBanking.testCases.BaseClass - Password is Entered
20:16:43.385 [main] INFO  com.inetBanking.testCases.BaseClass - LoginSucessfully Done
20:16:53.606 [main] WARN  com.inetBanking.testCases.BaseClass - LoginFailed
20:16:56.788 [main] WARN  com.inetBanking.testCases.BaseClass - LoginFailed
20:17:01.301 [main] INFO  com.inetBanking.testCases.BaseClass - LoginSucessfully Done
20:17:29.064 [main] INFO  com.inetBanking.testCases.BaseClass - Test Case Passed
20:18:59.741 [main] INFO  com.inetBanking.testCases.BaseClass - URL is Loaded
20:19:00.353 [main] INFO  com.inetBanking.testCases.BaseClass - userName is Entered
20:19:00.718 [main] INFO  com.inetBanking.testCases.BaseClass - Password is Entered
20:19:22.141 [main] INFO  com.inetBanking.testCases.BaseClass - LoginSucessfully Done
20:19:28.406 [main] WARN  com.inetBanking.testCases.BaseClass - LoginFailed
20:19:40.157 [main] WARN  com.inetBanking.testCases.BaseClass - LoginFailed
20:19:46.726 [main] INFO  com.inetBanking.testCases.BaseClass - LoginSucessfully Done
20:20:16.411 [main] INFO  com.inetBanking.testCases.BaseClass - URL is Loaded
20:20:16.873 [main] INFO  com.inetBanking.testCases.BaseClass - userName is Entered
20:20:17.052 [main] INFO  com.inetBanking.testCases.BaseClass - Password is Entered
20:20:33.773 [main] INFO  com.inetBanking.testCases.BaseClass - LoginSucessfully Done
20:20:38.715 [main] WARN  com.inetBanking.testCases.BaseClass - LoginFailed
20:20:43.417 [main] WARN  com.inetBanking.testCases.BaseClass - LoginFailed
20:20:50.761 [main] INFO  com.inetBanking.testCases.BaseClass - LoginSucessfully Done
20:21:22.536 [main] INFO  com.inetBanking.testCases.BaseClass - Test Case Passed
21:00:10.656 [main] INFO  com.inetBanking.testCases.BaseClass - URL is Loaded
21:00:12.642 [main] INFO  com.inetBanking.testCases.BaseClass - userName is Entered
